educat_gr,act_st,mb01m_gr,hh_ident,anr,mb02,mc02a,me12a,father,me03,mb05,mb04,ved_st,mother,mb01a_gr,partner,mb01f_gr,me0908_1z,mb011a_gr,study_gr,objectid,age
2,3,LT,11050,1,2,2,8,,8,1,4,3,,LT,,LT,88,LT,8,1,77
2,6,00,11053,1,2,2,8,2,8,3,1,3,,00,,00,88,LT,8,2,55
2,3,00,11053,2,1,2,8,,8,1,3,3,,00,,00,88,LT,8,3,84
2,6,00,11053,3,2,2,8,,8,5,1,3,1,00,,99,88,00,8,4,22
2,3,00,11054,1,2,2,8,,8,1,1,3,,LT,,00,88,LT,8,5,80
2,1,LT,11060,1,2,2,3,,1,1,4,3,,LT,,LT,2,LT,8,6,56
3,3,LT,11062,1,2,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,7,75
3,3,LT,11062,2,1,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,8,78
3,3,LT,11063,1,1,2,8,,8,1,3,3,,00,,LT,88,LT,8,9,74
3,3,LT,11065,1,1,2,8,,8,1,2,1,,LT,2,LT,88,LT,8,10,68
3,3,LT,11065,2,2,2,8,,8,2,2,1,,LT,1,LT,88,LT,8,11,68
3,1,LT,11067,2,2,2,3,,1,1,4,3,,LT,,LT,2,LT,8,12,58
3,1,LT,11068,1,2,2,3,,1,1,2,1,,LT,2,LT,2,LT,8,13,47
3,1,LT,11068,2,1,2,3,,1,2,2,1,,LT,1,LT,2,00,8,14,46
8,8,88,11068,3,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,15,12
8,8,88,11068,4,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,16,6
3,3,LT,11070,1,2,2,8,,8,1,1,3,,LT,,LT,88,LT,8,17,85
3,1,LT,11075,1,1,2,3,,1,1,2,1,,LT,2,LT,2,LT,8,18,29
3,1,LT,11075,2,2,2,3,,1,2,2,1,,LT,1,LT,2,LT,8,19,28
2,3,LT,11076,1,1,2,8,,8,1,3,3,,LT,,LT,88,LT,8,20,79
3,1,LT,11077,1,1,2,3,,1,1,4,3,,LT,,LT,2,LT,8,21,41
8,8,88,11077,2,1,8,8,1,8,3,1,8,,88,,88,88,88,8,22,9
3,1,LT,11086,1,2,2,3,,1,2,2,1,,LT,2,LT,2,LT,8,23,64
3,1,LT,11086,2,1,2,3,,1,1,2,1,,LT,1,LT,4,LT,8,24,62
2,3,99,11089,1,2,2,8,,8,1,4,3,,LT,,99,88,LT,8,25,66
3,3,LT,11093,1,2,2,8,,8,1,1,3,,LT,,LT,88,LT,8,26,63
3,1,LT,11100,1,2,2,3,,1,1,2,1,,LT,2,LT,3,LT,8,27,47
3,1,LT,11100,2,1,2,3,,1,2,2,1,,LT,1,LT,2,LT,8,28,50
8,8,88,11100,3,2,8,8,2,8,3,1,8,1,88,,88,88,88,8,29,10
